Date ,Hour,Time block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh),Weighted MCP (Rs/MWh)
02-10-2021,15,14:00 - 14:15,10814.80,12850.40,8701.00,8701.00,3410.32,3410.32
02-10-2021,15,14:15 - 14:30,11253.20,12654.90,8939.40,8939.40,3410.83,3410.83
02-10-2021,15,14:30 - 14:45,11804.40,12399.30,9152.70,9152.70,3999.15,3999.15
02-10-2021,15,14:45 - 15:00,12307.30,12247.90,9571.80,9571.80,5021.11,5021.11
02-10-2021,16,15:00 - 15:15,12670.40,12040.00,9535.50,9535.50,5021.34,5021.34
02-10-2021,16,15:15 - 15:30,13055.10,12310.70,9713.61,9713.61,5000.94,5000.94
02-10-2021,16,15:30 - 15:45,13217.30,12048.30,9880.20,9880.20,5404.64,5404.64
02-10-2021,16,15:45 - 16:00,13152.00,12398.50,9807.70,9807.70,5021.02,5021.02
02-10-2021,17,16:00 - 16:15,13255.60,11830.30,9663.00,9663.00,5021.46,5021.46
02-10-2021,17,16:15 - 16:30,13745.80,11592.00,9988.20,9988.20,5922.01,5922.01
02-10-2021,17,16:30 - 16:45,14138.70,11967.30,10381.10,10381.10,5404.21,5404.21
02-10-2021,17,16:45 - 17:00,14112.50,11843.80,10354.90,10354.90,5021.93,5021.93
